source,target,weight
1691,56496,2
1691,33408,1
1691,10694,1
1691,36521,1
1691,36672,1
1691,31556,1
1691,35644,3
1691,44274,2
1691,43005,1
1691,48661,2
1691,17423,1
1691,97789,1
1691,49552,1
1691,59451,1
1691,52565,1
1691,48623,1
1691,53854,1
1691,73374,1
1691,18933,1
1691,1740,1
1691,27987,1
1691,70315,1
1691,34701,1
1691,8537,11
1691,7881,1
1691,50768,1
1691,44738,1
1691,61479,2
1691,57897,1
1691,56354,1
1691,38993,1
1691,39949,1
1691,52713,3
1691,16573,1
1691,41095,1
1691,2533,4
1691,80340,1
1691,71680,1
1691,9466,1
1691,75470,1
1691,54468,1
1691,44515,1
1691,41138,1
1691,56170,1
1691,33171,1
1691,1607,1
1691,9293,1
1691,64687,1
1691,57021,1
1691,5639,3
1691,7031,2
1691,44533,1
1691,37664,1
1691,56659,1
1691,28719,1
1691,40433,1
1691,43150,1
1691,22958,1
1691,14397,3
1691,56283,1
1691,416,1
1691,47150,1
1691,76078,1
1691,10947,2
1691,97400,1
1691,14968,2
1691,60122,1
1691,15487,1
1691,47114,1
1691,2854,1
1691,40989,3
1691,38204,1
1691,15212,1
1691,22908,1
1691,76161,1
1691,88900,1
1691,100168,1
1691,819,2
1691,18229,1
1691,6915,1
1691,51405,1
1691,6129,1
1691,49531,1
1691,46157,1
1691,51138,1
1691,33495,1
1691,86199,1
1691,79399,1
1691,9458,2
1691,3094,1
1691,52617,1
1691,4937,1
1691,870,2
1691,26156,1
1691,51003,1
1691,56938,1
1691,38406,1
1691,52852,1
1691,12857,1
1691,5314,2
1691,41460,1
1691,2332,1
1691,38677,1
1691,41654,1
1691,42232,1
1691,68406,1
1691,88234,1
1691,48249,1
1691,18113,4
1691,14817,1
1691,41910,1
1691,36299,1
1691,84423,1
1691,5715,1
1691,8803,1
1691,4886,1
1691,34905,1
1691,38833,1
1691,15076,1
1691,69186,1
1691,19144,1
1691,33309,1
1691,61265,1
1691,3890,1
1691,49312,1
1691,48990,1
1691,38264,4
1691,67210,1
1691,39662,1
1691,35790,1
1691,41704,2
1691,96933,1
1691,55010,1
1691,37983,1
1691,15109,1
1691,26,1
1691,43419,1
1691,56035,1
1691,39735,1
1691,57075,1
1691,64691,3
1691,97031,1
1691,8702,1
1691,16786,1
1691,65348,1
1691,1949,1
1691,30184,1
1691,15894,1
1691,5848,1
1691,43004,1
1691,58230,1
1691,75710,1
1691,48668,1
1691,56360,1
1691,48775,4
1691,49362,1
1691,88347,1
1691,65928,1
1691,58722,2
1691,37343,1
1691,67868,1
1691,30802,2
1691,86004,1
1691,66906,1
1691,52938,1
1691,84896,1
1691,79357,1
1691,55545,1
1691,45863,1
1691,9605,2
1691,31926,1
1691,3873,9
1691,736,1
1691,41050,1
1691,8930,2
1691,79584,1
1691,33751,1
1691,55762,1
1691,79398,1
1691,339,1
1691,29695,1
1691,62154,1
1691,41254,1
1691,45125,1
1691,34957,1
1691,10458,1
1691,15167,1
1691,46531,1
1691,44527,1
1691,80462,1
1691,19493,1
1691,95325,1
1691,4660,2
1691,96985,3
1691,43440,1
1691,71651,1
1691,42775,1
1691,11050,1
1691,922,1
1691,76564,1
1691,24198,2
1691,36085,1
1691,3958,1
1691,7583,1
1691,34676,1
1691,44972,1
1691,58,2
1691,11218,1
1691,80965,1
1691,1723,1
1691,101284,1
1691,41465,1
1691,36877,1
1691,72303,1
1691,79235,1
1691,16919,1
1691,7799,1
1691,9361,3
1691,37003,1
1691,46781,1
1691,7981,1
1691,6014,1
1691,17316,1
1691,93941,1
1691,13601,1
1691,62982,1
1691,8594,1
1691,16518,4
1691,84974,1
1691,42260,1
1691,33557,1
1691,48397,1
1691,54234,1
1691,13981,1
1691,46538,1
1691,2027,3
1691,86122,1
1691,52284,1
1691,2265,1
1691,77842,1
1691,11517,1
1691,55638,1
1691,28593,1
1691,37940,1
1691,101708,1
1691,42101,1
1691,55149,1
1691,19609,1
1691,102204,1
1691,48372,1
1691,12477,1
1691,54926,1
1691,89111,1
1691,45551,1
1691,319,1
1691,4325,8
1691,3602,2
1691,4424,2
1691,12653,1
1691,8265,1
1691,39161,1
1691,49244,1
1691,4408,2
1691,45534,1
1691,82225,1
1691,35597,1
1691,4790,1
1691,23364,1
1691,32756,1
1691,8409,1
1691,58180,2
1691,57226,1
1691,38497,1
1691,64188,1
1691,33424,1
1691,83401,1
1691,56864,2
1691,28926,1
1691,41435,1
1691,77325,1
1691,51913,1
1691,37161,1
1691,49880,3
1691,41116,1
1691,60230,2
1691,38823,1
1691,50821,1
1691,43793,2
1691,50783,3
1691,80528,1
1691,3091,2
1691,76615,1
1691,73840,1
1691,43291,3
1691,99498,1
1691,18658,2
1691,6722,1
1691,39955,1
1691,3753,1
1691,17991,2
1691,2011,1
1691,88755,1
1691,41710,1
1691,65083,1
1691,1878,1
1691,36028,1
1691,6089,1
1691,4903,1
1691,37890,1
1691,85188,1
1691,12206,1
1691,50653,1
1691,82127,1
1691,8929,2
1691,87872,2
1691,1154,1
1691,33007,1
1691,58820,1
1691,50395,1
1691,44143,2
1691,96725,1
1691,53773,1
1691,7076,1
1691,63079,1
1691,37887,1
1691,64573,1
1691,13026,1
1691,47135,1
1691,5178,1
1691,18952,1
1691,57945,1
1691,4701,2
1691,30880,1
1691,8927,2
1691,30951,3
1691,58007,1
1691,13655,1
1691,92362,1
1691,7116,1
1691,37948,1
1691,5338,1
1691,40218,1
1691,3789,1
1691,81843,1
1691,39472,1
1691,44166,1
1691,730,2
1691,94612,1
1691,20946,2
1691,54637,1
1691,43639,1
1691,78727,1
1691,36907,1
1691,48996,1
1691,63202,1
1691,32704,1
1691,3547,3
1691,2480,1
1691,11415,2
1691,53288,3
1691,35931,1
1691,49370,2
1691,47177,1
1691,1122,1
1691,5826,2
1691,82101,1
1691,72756,1
1691,37721,1
1691,19960,1
1691,28442,1
1691,52832,1
1691,92866,1
1691,42949,1
1691,70267,1
1691,35232,1
1691,40414,1
1691,38495,1
1691,46084,1
1691,74123,1
1691,18501,1
1691,65520,1
1691,14512,2
1691,7966,1
1691,2822,1
1691,37669,1
1691,13499,1
1691,13485,1
1691,71523,1
1691,3500,2
1691,10659,1
1691,8,4
1691,2,1
1691,50585,1
1691,11296,1
1691,38056,1
1691,37358,2
1691,54033,1
1691,16367,1
1691,7562,1
1691,53013,1
1691,32788,1
1691,37782,1
1691,36145,1
1691,40891,2
1691,43284,2
1691,38652,1
1691,53254,1
1691,32608,1
1691,7693,2
1691,11610,2
1691,3335,1
1691,50819,1
1691,52044,1
1691,67367,1
1691,6104,1
1691,79081,1
1691,27859,1
1691,17949,2
1691,97284,1
1691,21003,1
1691,13046,1
1691,75332,1
1691,12847,1
1691,9209,1
1691,28852,1
1691,2341,3
1691,4496,2
1691,5355,2
1691,56657,1
1691,8415,1
1691,11011,1
1691,5398,2
1691,65230,1
1691,39740,2
1691,46542,1
1691,56967,1
1691,42374,1
1691,88012,1
1691,15800,1
1691,1809,1
1691,36309,1
1691,56258,1
1691,41501,2
1691,90752,1
1691,73020,1
1691,45146,1
1691,43137,1
1691,39060,1
1691,41062,1
1691,101300,2
1691,75387,1
1691,41454,3
1691,21026,1
1691,4467,1
1691,6642,1
1691,74860,2
1691,45386,1
1691,80757,1
1691,63089,1
1691,74061,1
1691,43692,1
1691,44053,1
1691,37057,1
1691,38041,1
1691,72990,1
1691,41173,1
1691,52959,1
1691,85531,1
1691,100365,1
1691,11425,1
1691,45264,1
1691,8977,1
1691,45036,2
1691,14573,1
1691,45044,1
1691,41599,1
1691,3967,1
1691,44934,2
1691,8381,7
1691,80111,1
1691,16060,1
1691,21369,1
1691,85145,1
1691,39977,1
1691,46760,1
1691,21850,1
1691,4536,1
1691,9278,1
1691,52423,1
1691,66534,1
1691,6467,1
1691,34753,1
1691,56599,1
1691,55341,3
1691,17830,1
1691,97499,1
1691,33139,1
1691,85799,1
1691,8375,3
1691,97782,1
1691,95174,1
1691,83198,1
1691,12971,1
1691,58588,1
1691,40506,1
1691,44384,1
1691,12700,1
1691,39069,1
1691,42793,1
1691,33858,1
1691,20258,1
1691,14315,1
1691,42242,1
1691,8915,1
1691,7572,1
1691,1844,1
1691,29745,1
1691,58927,1
1691,7458,2
1691,34947,2
1691,3933,1
1691,4910,1
1691,19539,1
1691,57715,1
1691,11919,1
1691,81589,1
1691,18003,1
1691,52156,1
1691,13669,1
1691,4528,1
1691,12903,5
1691,6594,2
1691,338,1
1691,38442,1
1691,78207,1
1691,44776,2
1691,88549,3
1691,48808,2
1691,67271,1
1691,95761,2
1691,43539,1
1691,20366,1
1691,53263,1
1691,45888,1
1691,8989,1
1691,99197,2
1691,34856,1
1691,48366,1
1691,87267,1
1691,99484,1
1691,43713,1
1691,35768,4
1691,12510,1
1691,54641,2
1691,24555,1
1691,26316,2
1691,38979,1
1691,40399,1
1691,4799,1
1691,69555,1
1691,566,1
1691,9997,1
1691,93699,1
1691,29492,1
1691,2393,1
1691,13697,1
1691,46798,2
1691,21991,1
1691,11139,1
1691,14335,1
1691,47205,1
1691,100014,1
1691,41161,1
1691,39706,1
1691,32684,1
1691,258,3
1691,42527,1
1691,8313,4
1691,47421,1
1691,66687,1
1691,60083,1
1691,7514,1
1691,14486,1
1691,53201,1
1691,37320,1
1691,42555,1
1691,50502,1
1691,28724,1
1691,9155,3
1691,48791,2
1691,96833,1
1691,7774,1
1691,4237,1
1691,44087,1
1691,96964,1
1691,73431,1
1691,9231,1
1691,79954,1
1691,81320,1
1691,38990,1
1691,39211,1
1691,60666,1
1691,68069,1
1691,84585,1
1691,85874,2
1691,41052,1
1691,17048,1
1691,21413,2
1691,61792,1
1691,23098,1
1691,43026,1
1691,36723,5
1691,44754,2
1691,46099,2
1691,45740,1
1691,51867,1
1691,46573,1
1691,13140,1
1691,34686,2
1691,70376,1
1691,4269,4
1691,80210,1
1691,228,1
1691,50972,1
1691,75177,2
1691,57899,1
1691,39718,1
1691,35632,1
1691,56730,1
1691,13282,1
1691,86928,3
1691,99320,1
1691,2232,1
1691,17642,1
1691,13477,1
1691,36783,2
1691,41519,1
1691,78105,1
1691,53944,1
1691,6044,1
1691,42399,1
1691,2182,1
1691,56687,1
1691,35239,1
1691,8781,1
1691,35385,3
1691,35569,2
1691,14876,1
1691,7107,1
1691,86846,1
1691,20752,1
1691,34819,1
1691,37350,1
1691,6258,2
1691,20060,1
1691,79958,2
1691,38328,1
1691,6383,1
1691,41491,1
1691,731,1
1691,80353,1
1691,8969,1
1691,46772,2
1691,54888,3
1691,54824,1
1691,2736,3
1691,5193,1
1691,88580,1
1691,40845,1
1691,59651,2
1691,85410,1
1691,98433,1
1691,82784,1
1691,54320,1
1691,69303,1
1691,50736,1
1691,79841,1
1691,15578,1
1691,88571,1
1691,662,8
1691,83089,1
1691,11325,1
1691,13813,2
1691,6088,1
1691,49626,1
1691,14196,2
1691,36536,2
1691,818,1
1691,88836,1
1691,34924,5
1691,26884,1
1691,33116,2
1691,35980,1
1691,15299,1
1691,55280,1
1691,1214,1
1691,8162,1
1691,38648,1
1691,69376,2
1691,98770,1
1691,11207,3
1691,79634,1
1691,59224,1
1691,17181,1
1691,101235,1
1691,97753,1
1691,3542,1
1691,12782,2
1691,37946,1
1691,13016,1
1691,3962,1
1691,53143,1
1691,21036,1
